Year,Month,DayOfWeek,IATA_Code_Marketing_Airline,CRSDepTime,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,LateAircraftDelay,Delay_Category
2024,1,1,UA,1120,-9.0,-32.0,557.0,0.0,0.0,0.0,Green
2024,1,4,AA,1241,27.0,33.0,721.0,27.0,0.0,0.0,Orange
2024,1,6,WN,1320,5.0,10.0,1984.0,0.0,0.0,0.0,Green
2024,1,1,DL,2139,-4.0,-19.0,377.0,0.0,0.0,0.0,Green
2024,1,1,UA,1755,42.0,36.0,642.0,0.0,0.0,36.0,Orange
2024,1,1,DL,1405,0.0,-25.0,1086.0,0.0,0.0,0.0,Green
2024,1,2,DL,1316,-13.0,-20.0,347.0,0.0,0.0,0.0,Green
2024,1,7,WN,1525,25.0,23.0,621.0,0.0,0.0,23.0,Orange
2024,1,3,UA,1035,-6.0,-24.0,157.0,0.0,0.0,0.0,Green
2024,1,1,UA,1444,-8.0,-17.0,649.0,0.0,0.0,0.0,Green
2024,1,4,UA,1020,5.0,4.0,1199.0,0.0,0.0,0.0,Green
2024,1,7,WN,1720,4.0,-20.0,1300.0,0.0,0.0,0.0,Green
2024,1,6,UA,1505,-11.0,-29.0,224.0,0.0,0.0,0.0,Green
2024,1,5,DL,916,-6.0,-12.0,1342.0,0.0,0.0,0.0,Green
2024,1,6,UA,633,-6.0,-34.0,158.0,0.0,0.0,0.0,Green
2024,1,4,UA,1738,-7.0,-5.0,577.0,0.0,0.0,0.0,Green
2024,1,7,WN,730,-4.0,1.0,480.0,0.0,0.0,0.0,Green
2024,1,3,AA,1332,-7.0,-4.0,1651.0,0.0,0.0,0.0,Green
2024,1,6,DL,600,-6.0,-18.0,1448.0,0.0,0.0,0.0,Green
2024,1,2,UA,2015,-2.0,-22.0,67.0,0.0,0.0,0.0,Green
2024,1,1,UA,855,-9.0,-22.0,758.0,0.0,0.0,0.0,Green
2024,1,3,AA,742,-11.0,-28.0,554.0,0.0,0.0,0.0,Green
2024,1,5,WN,1350,0.0,0.0,816.0,0.0,0.0,0.0,Green
2024,1,2,WN,945,-5.0,-10.0,680.0,0.0,0.0,0.0,Green
2024,1,1,B6,950,5.0,-3.0,1089.0,0.0,0.0,0.0,Green
2024,1,4,WN,1925,22.0,34.0,917.0,22.0,0.0,0.0,Orange
2024,1,4,AA,2039,105.0,103.0,358.0,0.0,103.0,0.0,Red
2024,1,1,NK,1414,-5.0,-18.0,1182.0,0.0,0.0,0.0,Green
2024,1,3,DL,1930,-5.0,-10.0,431.0,0.0,0.0,0.0,Green
2024,1,5,WN,930,-4.0,1.0,1209.0,0.0,0.0,0.0,Green
2024,1,2,AA,1100,-13.0,-30.0,405.0,0.0,0.0,0.0,Green
2024,1,3,UA,1507,-8.0,-24.0,569.0,0.0,0.0,0.0,Green
2024,1,5,AA,1520,-13.0,-25.0,677.0,0.0,0.0,0.0,Green
2024,1,4,UA,1935,1.0,-15.0,1608.0,0.0,0.0,0.0,Green
2024,1,7,AA,1550,11.0,0.0,427.0,0.0,0.0,0.0,Green
2024,1,1,UA,1805,0.0,-14.0,1050.0,0.0,0.0,0.0,Green
2024,1,1,AA,1801,107.0,115.0,926.0,0.0,0.0,107.0,Red
2024,1,1,DL,729,-7.0,-18.0,1404.0,0.0,0.0,0.0,Green
2024,1,4,UA,1825,-3.0,-27.0,529.0,0.0,0.0,0.0,Green
